luz_principal,canto_tablero
30,1.1
30,1.1
30,1.1
30,1.1
22.5,0.9
19,0.75
22.5,0.9
18,0.65
18,0.65
17.6,0.65
20,0.8
24.5,1.2
19,0.75
15.27,0.65
15.2,0.65
18,0.65
20.4,0.75
27.2,1
20.5,0.75
22.8,0.8
18.85,0.85
16.75,0.8
18.5,0.8
22.5,0.9
22,1
23,0.95
